"","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","sig_all_lin","sig_all_linquad"
"1","0200001A",-118.16079995549,34.2074532655786,400,0.345423143350604,598,0.516407599309154,0.052324989613226,7.19855370725829,-0.037588466788434,9.37506055132421,-0.000286424618769,1158,-0.0137335810632608,0.000751155846182953,-0.00859988889691189,0.220716508216727,0.644828924457006,4.51962481435212e-11,22.0734080555705,3.45096302081534e-10,-0.0260021663417706,0.00331741050013173,-0.00431221320387418,0.00271636694508289,0.0115819583294968,0.000211301151088335,10.1103039791821,4.31990049068473e-05,-0.0201114327701868,-0.0170063422603513,0.0016413335023286,0.0121196410954249
"2","0200003A",-118.151817609756,34.1994358364419,493,0.672578444747613,169,0.23055934515689,-0.026741954010298,11.9367593157597,-0.048168437965048,4.65223664678396,-0.034388832141641,733,-0.00908294222247417,0.000111147654430966,-0.00833018820798896,0.424256713704134,0.946838605116556,3.11158043450957e-10,20.0340858664169,2.52268571547148e-09,-0.0265207948871469,0.00342378930101396,-0.0043928933447368,0.00219456280531364,0.00988419293031992,0.000173454683360179,10.4407302757494,3.11682778597996e-05,-0.0200856371928937,-0.0157877886349725,0.0016469916966433,0.0121521100657499
"3","0200005A",-118.144954679749,34.2028257770801,394,0.553370786516854,259,0.36376404494382,0.001994939160264,8.14820877090382,-0.047183714665692,5.39221546987865,-0.018156951518581,712,-0.00807151723690075,-2.69413029575764e-05,-0.00825745186943966,0.487839250578107,0.98716570138754,4.86282171771516e-10,19.585887559806,3.90850025039886e-09,-0.0270086277584839,0.00343141700482974,-0.00439744617160516,0.00225552522639942,0.00986011715479026,0.000173653789040341,10.4418388424961,3.11341703853004e-05,-0.0200153578455322,-0.0148102818639387,0.00164841811044302,0.0124395020025452
"4","0200009A",-118.156972883627,34.1926935737483,595,0.650984682713348,135,0.147702407002188,0.005488514187901,11.0913604730414,0.008808817982126,4.01109146213203,0.007430830039526,914,-0.00865219407657214,5.00543705395438e-05,-0.00832185374606941,0.435832989948447,0.976093729251832,3.49509446878806e-10,19.9161081736664,2.83077424286146e-09,-0.0260797650560282,0.00344527984759069,-0.00441346825702071,0.00200337699296472,0.00951791297226292,0.000162701810095363,10.5357602465251,2.83761109210709e-05,-0.0201560869197228,-0.0164002475555344,0.0016472492990399,0.0118268147258611
"5","0200011A",-118.154454608961,34.1955745071283,580,0.697115384615385,115,0.138221153846154,0.042337325967944,13.5229515212127,0.011406443749189,4.13832007684913,0.037866658127322,832,-0.00874621534884771,6.38942874402133e-05,-0.00831962154662444,0.435905398373565,0.96947255946957,3.45279077712833e-10,19.9285672155974,2.7965346958889e-09,-0.0262877635990237,0.0034373563831475,-0.00440564939545756,0.00208138262053265,0.00965856004049486,0.000166897371687775,10.4982653816669,2.94465552895349e-05,-0.0201226466836622,-0.016090135282893,0.00164724979974402,0.0119746773342065
"6","0200013A",-118.149680133333,34.1921942666667,519,0.610588235294118,166,0.195294117647059,0.024072320356343,11.0006289191821,0.01082405531511,4.9092757581347,0.018633540372671,850,-0.00637347854005648,-0.000270400924095679,-0.00817498621438566,0.573583395123857,0.872735194743194,8.99009111721321e-10,18.9857321703572,7.0271707427272e-09,-0.0265155777768176,0.00347865699542478,-0.00444125193398704,0.00193822458339119,0.00916142552079191,0.000153494608317272,10.6257595079242,2.59630022014387e-05,-0.0200892069074041,-0.0152189400201993,0.0016501450008359,0.0120247568541995
"7","0200014A",-118.161532017241,34.18968380721,482,0.585662211421628,127,0.154313487241798,0.058782854315686,10.1039198915071,0.052324254650026,4.45619986074048,0.05283152849281,823,-0.00910885606095681,0.000115015391442657,-0.0083611837518158,0.404011817187333,0.944983900706663,2.77996232160213e-10,20.1469040061952,2.25951907880831e-09,-0.025736350072438,0.00344408271457995,-0.00441461837987647,0.00194471616426848,0.00948996520191991,0.000160779117119124,10.5497399264534,2.79870511738728e-05,-0.0202087614190872,-0.0169961414270474,0.00164651955472359,0.0116180596641254
"8","0200015A",-118.165980659091,34.1882792097902,507,0.781201848998459,61,0.093990755007704,0.048874195324762,17.2354394172853,0.011158374698108,4.16426721839252,0.042598729632698,649,-0.00998238646539888,0.000242208542703558,-0.00842445459655864,0.353391961697824,0.883962602141122,1.85171435571826e-10,20.5618087198856,1.50697333823336e-09,-0.025414394509466,0.0034300449828825,-0.00440582131480223,0.00195318749032325,0.00966240680306798,0.000163185931176169,10.5193231904229,2.88404925086023e-05,-0.0202523027868603,-0.0175628054847793,0.00164527533673609,0.0114562535555046
"9","0200017A",-118.156285351744,34.1855451438953,523,0.535312180143296,79,0.08085977482088,0.067285690027853,8.11918297495095,0.013431535129431,4.19992505322683,0.056013986013986,977,-0.00637697079974932,-0.000280047196012981,-0.00819085222700496,0.562726152853978,0.868273186319082,8.64740501221510e-10,19.0254293759275,6.75963478146368e-09,-0.0260004300997912,0.00349713385126892,-0.00445857720564643,0.00176149951593592,0.00882858599608669,0.000144697665296114,10.7154960960619,2.37614906632697e-05,-0.0201771680758564,-0.0161143451378227,0.00164996328555772,0.0116600747682603
"10","0200018A",-118.152795638146,34.1854782263815,536,0.548057259713701,119,0.121676891615542,0.053944658559797,8.88457457533446,0.010429591053544,3.99184303497658,0.034032438478747,978,-0.00531139702337667,-0.000431428623356429,-0.00812024212241489,0.633107279765257,0.799279991655732,1.34034303054202e-09,18.6076406864748,1.01712632733606e-08,-0.0262000512154886,0.00351000128383317,-0.00447029933472123,0.00174947437880363,0.00872337464091107,0.000141371713792345,10.7485227593578,2.29991652332121e-05,-0.0201405071342576,-0.0155095758718666,0.00165131875842017,0.01176051252519
