"","Group_1","compdist_90","CDDIST","ADDIST","SDDIST","compdist_any"
"1","0250001A",0,32,47,26,0
"2","0250002A",0,32,47,26,0
"3","0250004A",0,32,47,26,0
"4","0250005A",0,32,47,26,0
"5","0250006A",0,32,47,26,0
"6","0250007A",0,32,47,26,0
"7","0250008A",0,32,47,26,0
"8","0250009A",0,32,47,26,0
"9","0250010A",0,32,47,26,0
"10","0250011A",0,32,47,26,0
"11","0250012A",0,32,47,26,0
"12","0250016A",0,32,47,26,0
"13","0250021A",0,32,47,26,0
"14","0250026A",0,32,47,26,0
"15","0450001A",0,37,52,25,1
"16","0450002A",0,37,52,25,1
"17","0450003A",0,37,52,25,1
"18","0450004A",0,37,52,25,1
"19","0450007A",0,37,52,25,1
"20","0450008A",0,37,52,25,1
"21","0450009A",0,37,52,25,1
"22","0450014C",0,37,52,25,1
"23","0700001A",0,33,50,30,1
"24","0700005A",0,33,50,30,1
"25","0700007A",0,33,50,30,1
"26","0700009A",0,33,50,30,1
"27","0700011A",0,33,50,30,1
"28","0700013A",0,33,50,30,1
"29","0700017A",0,33,50,30,1
"30","0700018A",0,33,50,30,1
"31","0700019A",0,33,50,30,1
"32","0800001A",0,33,50,30,1
"33","0800002A",0,33,50,30,1
"34","0800005A",0,33,50,30,1
"35","0800007A",0,33,50,30,1
"36","0800009A",0,33,50,30,1
"37","0800011A",0,33,50,30,1
"38","0800013A",0,33,50,30,1
"39","0800016A",0,33,50,30,1
"40","0800017A",0,33,50,30,1
"41","0850001A",0,31,49,24,1
"42","0850005A",0,31,49,24,1
"43","0850007A",0,31,49,24,1
"44","0850009A",0,31,49,24,1
"45","0850012A",0,31,49,24,1
"46","0850037A",0,31,49,24,1
"47","0850050B",0,31,49,24,1
"48","0850051B",0,31,49,24,1
"49","0850052A",0,31,49,24,1
"50","0850053A",0,31,49,24,1
"51","0850054A",0,31,49,24,1
"52","0850055A",0,31,49,24,1
"53","0850056A",0,31,49,24,1
"54","0850057A",0,31,49,24,1
"55","0850058B",0,31,49,24,1
"56","0850059A",0,31,49,24,1
"57","0850060A",0,31,49,24,1
"58","0850061A",0,31,49,24,1
"59","0900001A",0,29,42,23,1
"60","0900003A",0,29,42,23,1
"61","0900004A",0,29,42,23,1
"62","0900005A",0,29,42,23,1
"63","0900006A",0,29,42,23,1
"64","0900007A",0,29,42,23,1
"65","0900008A",0,29,42,23,1
"66","0900009A",0,29,42,23,1
"67","0900010A",0,29,42,23,1
"68","0900012A",0,29,42,23,1
"69","0900013A",0,29,42,23,1
"70","0900014A",0,29,42,23,1
"71","0900015A",0,29,42,23,1
"72","0900016A",0,29,42,23,1
"73","0900018A",0,29,42,23,1
"74","0900020A",0,29,42,23,1
"75","0900021A",0,29,42,23,1
"76","0900023A",0,29,42,23,1
"77","0900025A",0,29,42,23,1
"78","0900026A",0,29,42,23,1
"79","0900027A",0,29,42,23,1
"80","0900030A",0,29,42,23,1
"81","0900031A",0,29,42,23,1
"82","0900033A",0,29,42,23,1
"83","0900035A",0,29,42,23,1
"84","0900036A",0,29,42,23,1
"85","0900037A",0,29,42,23,1
"86","0900039A",0,29,42,23,1
"87","0900041A",0,29,42,23,1
"88","0900042A",0,29,42,23,1
"89","0900046A",0,29,42,23,1
"90","0900047A",0,29,42,23,1
"91","0900050A",0,29,42,23,1
"92","0900051A",0,29,42,23,1
"93","1060001A",0,32,51,25,1
"94","1430002A",0,33,50,30,1
"95","1430009A",0,33,50,30,1
"96","1430030A",0,33,50,30,1
"97","1430031A",0,33,50,30,1
"98","1430032A",0,33,50,30,1
"99","1430033B",0,33,50,30,1
"100","1430034A",0,33,50,30,1
"101","1430035A",0,33,50,30,1
"102","1450001A",0,37,52,25,1
"103","1450006A",0,37,52,25,1
"104","1450007A",0,37,52,25,1
"105","1450008B",0,37,52,25,1
"106","1450015A",0,37,52,25,1
"107","1450024A",0,37,52,25,1
"108","1450027A",0,37,52,25,1
"109","1450028A",0,37,52,25,1
"110","1450030A",0,37,52,25,1
"111","1450032A",0,37,52,25,1
"112","1450033A",0,37,52,25,1
"113","1450036B",0,37,52,25,1
"114","1450040A",0,37,52,25,1
"115","1450041A",0,37,52,25,1
"116","1450042A",0,37,52,25,1
"117","1450136A",0,37,52,25,1
"118","1450137A",0,37,52,25,1
"119","1450141A",0,37,52,25,1
"120","1450142A",0,37,52,25,1
"121","1450146A",0,37,52,25,1
"122","1450147A",0,37,52,25,1
"123","1450148A",0,37,52,25,1
"124","1450149A",0,37,52,25,1
"125","1450170A",0,37,52,25,1
"126","1450300A",0,37,52,25,1
"127","1450302A",0,37,52,25,1
"128","1450305A",0,37,52,25,1
"129","1450313A",0,37,52,25,1
"130","1450314A",0,37,52,25,1
"131","1550001A",0,33,50,30,1
"132","1550005A",0,33,50,30,1
"133","1550006A",0,33,50,30,1
"134","1550007A",0,33,50,30,1
"135","1550008A",0,33,50,30,1
"136","1550020A",0,33,50,30,1
"137","1600001A",0,32,47,26,0
"138","1600003A",0,32,47,26,0
"139","1600004A",0,32,47,26,0
"140","1600006A",0,32,47,26,0
"141","1600007A",0,32,47,26,0
"142","1600008A",0,32,47,26,0
"143","1600010A",0,32,47,26,0
"144","1600011A",0,32,47,26,0
"145","1600013A",0,32,47,26,0
"146","1600014A",0,32,47,26,0
"147","1600016A",0,32,47,26,0
"148","1600017A",0,32,47,26,0
"149","1600018A",0,32,47,26,0
"150","1600019B",0,32,47,26,0
"151","1600022A",0,32,47,26,0
"152","1600024A",0,32,47,26,0
"153","1600025A",0,32,47,26,0
"154","1600027A",0,32,47,26,0
"155","1600028A",0,32,47,26,0
"156","1600029A",0,32,47,26,0
"157","1600031A",0,32,47,26,0
"158","1600034A",0,32,47,26,0
"159","1600042A",0,32,47,26,0
"160","1600045A",0,32,47,26,0
"161","1600055A",0,32,47,26,0
"162","1600058A",0,32,47,26,0
"163","1600071A",0,32,47,26,0
"164","1600072A",0,32,47,26,0
"165","1600073A",0,32,47,26,0
"166","1600074A",0,32,47,26,0
"167","1600075A",0,32,47,26,0
"168","1600076A",0,32,47,26,0
"169","1600078A",0,32,47,26,0
"170","1960001A",0,37,52,25,1
"171","1960003A",0,37,52,25,1
"172","1960007A",0,37,52,25,1
"173","1960010A",0,37,52,25,1
"174","1960011A",0,37,52,25,1
"175","1960018A",0,37,52,25,1
"176","1960034A",0,37,52,25,1
"177","2000003A",0,33,46,22,1
"178","2000007A",0,34,49,24,1
"179","2000011A",0,34,49,24,1
"180","2000013B",0,34,49,24,1
"181","2000022A",0,34,49,24,1
"182","2000024A",0,34,50,30,1
"183","2000027A",0,33,50,30,1
"184","2000028A",0,34,49,24,1
"185","2000030A",0,34,49,24,1
"186","2000038A",0,33,50,30,1
"187","2000040A",0,33,50,30,1
"188","2000042A",0,34,49,24,1
"189","2000045A",0,34,50,30,1
"190","2000053A",0,34,49,24,1
"191","2000062C",0,31,49,24,1
"192","2000063B",0,34,49,24,1
"193","2000064C",0,34,50,30,1
"194","2000065C",0,34,49,24,1
"195","2000081A",0,34,50,30,1
"196","2000082A",0,34,50,30,1
"197","2000083A",0,34,50,30,1
"198","2000084A",0,34,50,30,1
"199","2000085A",0,33,46,22,1
"200","2000086A",0,34,50,30,1
"201","2000088A",0,34,50,30,1
"202","2250001A",0,0,0,0,0
"203","2250002A",0,0,0,0,0
"204","2250003A",0,0,0,0,0
"205","2250004A",0,0,0,0,0
"206","2250006A",0,0,0,0,0
"207","2250007A",0,0,0,0,0
"208","2250009A",0,0,0,0,0
"209","2250011A",0,0,0,0,0
"210","2250012A",0,0,0,0,0
"211","2250015A",0,0,0,0,0
"212","2250016A",0,0,0,0,0
"213","2250017A",0,0,0,0,0
"214","2250018A",0,0,0,0,0
"215","2250020A",0,0,0,0,0
"216","2250030A",0,0,0,0,0
"217","2300002A",0,33,50,30,1
"218","2300009A",0,33,50,30,1
"219","2300010A",0,33,50,30,1
"220","2300012A",0,35,48,26,0
"221","2300013A",0,35,48,26,0
